,ASSET_1,ASSET_2,ASSET_3,ASSET_4,ASSET_5,ASSET_6,ASSET_7,ASSET_8,ASSET_9,ASSET_10,ASSET_11,ASSET_12,ASSET_13,ASSET_14,ASSET_15,CASH
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-12-31,7.773525943561192e-09,0.04216459409885522,0.09688625079952905,0.05395099956230327,0.05491321664878067,0.09070131342531725,0.10632929510363812,0.0040546121535016124,4.895230407591917e-10,0.10453525941115888,0.13590013187523248,0.13125884835546753,1.270569710810899e-09,0.0805902474064209,0.09906534416906615,-0.0003501225428897893
2021-01-01,7.803272969529449e-09,0.042710829552235895,0.09757542904861213,0.05429032970801752,0.05482203564307008,0.09093768080329824,0.10786992946281992,0.003968885452696251,4.858760601103463e-10,0.10305004859226649,0.1364309946201588,0.13368863713488616,1.2545478875445777e-09,0.07691729310629704,0.09808707474987197,-0.0003491774179274058
2021-01-04,7.879979036027228e-09,0.042995568728730824,0.09814870621548831,0.05418496449438449,0.05404077991342441,0.09166030411380002,0.10680064088287003,0.004097381582844152,4.906845470794362e-10,0.10226919883792344,0.13527955994401347,0.13367956958885108,1.2511899115246267e-09,0.0786041907482556,0.09858864888681548,-0.00034952355925488326
2021-01-05,7.814400928560331e-09,0.04375728721896335,0.09806706440467809,0.05458984509508735,0.05357148227128995,0.0919692402205483,0.1071149075460691,0.0039828111549760885,5.047583410843547e-10,0.10419570592832765,0.13425676614679644,0.13104906250783419,1.2574568917305242e-09,0.07864547458299272,0.09914930133224588,-0.000348957986425287
2021-01-06,7.795781599293236e-09,0.0437986803038535,0.0991882043051698,0.05472028582153689,0.052673177206125875,0.09319728287096801,0.1090465624938117,0.004144086949935786,4.943762489274389e-10,0.10417724784872502,0.12922457923357203,0.13175909130138289,1.240576535514667e-09,0.08108975697439039,0.09732846382376499,-0.0003474286639710885
2021-01-07,7.741848127473444e-09,0.043991440493590786,0.09797003949113667,0.05570348459524519,0.05182971996228755,0.09410107585488915,0.10698101896007595,0.004164003544797521,5.112030216634697e-10,0.10574955944934346,0.1286249049697266,0.13294094061969586,1.2527945048579684e-09,0.08256952256078845,0.09572483072910543,-0.0003505507365282411
2021-01-08,7.839859777449072e-09,0.043088951122209604,0.09799268009468898,0.05578523049545831,0.05260112189621676,0.09480282785051326,0.10570698243509588,0.004135547130889253,5.164280776165104e-10,0.10638866826150879,0.12835003251976088,0.13283030716801378,1.2774306488153537e-09,0.08239572297299685,0.09627486088523318,-0.0003529424663042524
2021-01-11,8.078099913646487e-09,0.04288075291179382,0.09696955864532583,0.05683688117733301,0.052679037239229363,0.09534444583306989,0.10562418951137703,0.0041610750442074625,5.339246517825514e-10,0.10878425691057339,0.13144007904267085,0.1309548985416596,1.2641972204572105e-09,0.07892137896149826,0.095759728010067,-0.0003562917050272742
2021-01-12,8.120198257971128e-09,0.04294286278374904,0.09637623892074919,0.0566116557127812,0.0520460796259566,0.09524566502941603,0.1063291269315093,0.004051195435758959,5.343864651268496e-10,0.1099676676546653,0.13009842345043987,0.1320410482464824,1.322023789731592e-09,0.07850156622540036,0.09614333006164283,-0.0003548700551596821
2021-01-13,8.038737055676732e-09,0.042890319079874235,0.096562232557146,0.056568190856331975,0.05124897752160751,0.09521691225832829,0.10811139291067719,0.004065192012479372,5.404691435836431e-10,0.1092535661911446,0.13130952663839773,0.13229545413147384,1.2964109162377324e-09,0.07874271819640838,0.09408921436085846,-0.0003537065903447105
2021-01-14,8.009462276338265e-09,0.043074773841981794,0.09710539240904675,0.05593247758953288,0.052032944558202086,0.09615426785230034,0.10735335181286744,0.003986774577534772,5.406973827520504e-10,0.10878043704238693,0.13189674542551866,0.13183553842809834,1.2541334004983026e-09,0.07839848637336926,0.09380326821983799,-0.0003544679349702059
2021-01-15,8.017985948013697e-09,0.042562301135912244,0.09838711091900229,0.05444296113363367,0.05260884779824498,0.0954221654807736,0.10808556480520219,0.003972541271660126,5.472762778784327e-10,0.10762500687271186,0.12895330551490866,0.13437523122132985,1.2459367454114994e-09,0.07835855968231172,0.09555905795474069,-0.0003526636016309362
2021-01-18,7.965390184845776e-09,0.04295797008950134,0.09808094499293016,0.05454014242994132,0.05283060909826055,0.09390173573321084,0.10731235360157888,0.004062429315296905,5.563866280969814e-10,0.10789421469692805,0.12991468299504155,0.1341808787795958,1.2801248814410859e-09,0.07835293999855845,0.0963248177447057,-0.0003537292774513768
2021-01-19,8.065819633380546e-09,0.04269628150111729,0.09991297616210044,0.05368166113258441,0.053977304416803894,0.0936310813577098,0.1071676336779375,0.003961399900298783,5.537303347962428e-10,0.10636763140361144,0.12889977412710732,0.13414788092577637,1.3043665286564595e-09,0.07881682981126166,0.0970938180300812,-0.000354282370306555
2021-01-20,7.96358634071369e-09,0.04221742672405585,0.10161967974701844,0.05310840020124948,0.05493989820511609,0.0931332234379329,0.10693731707262671,0.004012821622884074,5.629855668195256e-10,0.10596227138351666,0.1278247802005629,0.13374815604870957,1.3094603325996917e-09,0.07993753283380793,0.09691186253228354,-0.00035337984579636894
2021-01-21,7.998336405461273e-09,0.042855452897074986,0.10189333538164955,0.05322419067261347,0.05385299457055303,0.08987239139549887,0.10735748125767414,0.004002315241787404,5.579867247264559e-10,0.10623292855391643,0.12754760957221006,0.13613347677376336,1.3099495716132958e-09,0.07876282751822943,0.09861777507952092,-0.00035278878076434595
2021-01-22,7.977050336702297e-09,0.04305873397222176,0.10131193087683453,0.05279965650022729,0.0538811989933804,0.08984495427353618,0.10800489690214117,0.003985434923971441,5.425695463075379e-10,0.10548195458788188,0.12914452875561044,0.13541014164470674,1.3039348875616522e-09,0.08015829816861882,0.09727076376526285,-0.00035250318794835046
2021-01-25,7.887465218743702e-09,0.043135867102867514,0.10113016932976293,0.05239613995204531,0.053955050189886104,0.09073079216903608,0.1083763443446482,0.00401715238023211,5.591908599413292e-10,0.10530374923659874,0.13020376297788333,0.13474494074064433,1.2893776200049295e-09,0.07960288170281006,0.09675676967842056,-0.0003536295408688241
2021-01-26,7.951433216662596e-09,0.04437022989770302,0.10082553391970907,0.05239517899974863,0.05417311714263476,0.09163255763455391,0.10929131319859842,0.0041102683918493674,5.417078877914775e-10,0.10190602116389054,0.12980197880069316,0.1379262371184079,1.2602913227302787e-09,0.07562374801349865,0.09829902640398744,-0.00035522043870729977
2021-01-27,8.034595920832281e-09,0.044238975720883665,0.10057024750197421,0.052238456117723375,0.05469350561081229,0.09164956127493765,0.11093415913631678,0.003976916834769183,5.392933417871541e-10,0.10096606353146052,0.13035215968709057,0.13782992408760733,1.2887651241404553e-09,0.07368455974117938,0.0992235011504894,-0.00035804025789867573
2021-01-28,8.063601326298671e-09,0.044996979318836124,0.09988714503301285,0.052350499707562975,0.05341274708795048,0.08870471756782973,0.11203196969469426,0.003970806075815091,5.479421099758188e-10,0.09867596563530104,0.13126892546634178,0.14198276037951094,1.296542890804816e-09,0.07396034182915152,0.09911450875327757,-0.00035737645737077007
2021-01-29,7.770952268948378e-09,0.04215063416018908,0.09685417350464076,0.05393313735679737,0.05489503587050541,0.09067128385194136,0.10629409138663845,0.004053269744350342,4.893609684857424e-10,0.1045006496671066,0.1358551377860862,0.13121539091180912,1.2701490480341533e-09,0.08056356542513003,0.09903254541555986,-1.8924611216707764e-05
